,STATE,CountyNo,BelowUni,AboveUni
104,RI,9,27.37806510925293,72.6219367980957
105,PR,61,31.29279327392578,68.70720672607422
106,NC,119,26.090116500854492,73.90988349914551
107,PA,27,33.537452697753906,66.46254539489746
108,TX,121,24.84399700164795,75.15600204467773
109,MN,163,24.342185020446777,75.6578140258789
110,GA,89,30.339158058166504,69.66084098815918
111,GA,59,30.405518531799316,69.594482421875
112,SC,19,29.231258869171143,70.76873970031738
113,IN,105,28.998619556427002,71.00138092041016
114,TX,259,25.14601182937622,74.85398864746094
115,MN,31,25.338626384735107,74.66137313842773
116,TX,33,27.649768829345703,72.35022926330566
117,IL,19,26.99681568145752,73.00318336486816
118,MA,1,26.857891082763672,73.14211082458496
119,KY,67,27.05555248260498,72.94444847106934
120,OR,67,24.838056564331055,75.16194534301758
121,WI,133,25.588149785995483,74.41185188293457
122,IL,113,27.860422372817993,72.13957786560059
123,MA,0,32.46198558807373,67.53801345825195
124,FL,109,27.093244075775146,72.90675735473633
125,MO,189,27.273096084594727,72.7269058227539
126,ID,57,23.796895265579224,76.2031021118164
127,NJ,23,34.64321708679199,65.35678291320801
128,CO,47,20.884520530700684,79.115478515625
129,VA,87,29.25374126434326,70.74625778198242
130,MT,63,24.95537042617798,75.04463005065918
131,AL,117,26.226901054382324,73.77309989929199
132,FL,1,27.450109481811523,72.54988861083984
133,CO,67,25.03783416748047,74.9621639251709
134,MA,7,27.67796802520752,72.3220329284668
135,NJ,17,38.7429780960083,61.25702095031738
136,AL,89,27.7897891998291,72.2102108001709
137,VA,75,30.117125988006592,69.88287353515625
138,CO,53,20.48929738998413,79.51070404052734
139,OH,165,31.65437364578247,68.34562683105469
140,VT,23,31.363571643829346,68.63642883300781
141,NC,37,30.613155364990234,69.38684463500977
142,UT,51,25.188196659088135,74.81180381774902
143,WV,61,33.91964387893677,66.08035659790039
144,NY,1,29.4555344581604,70.54446411132812
145,NJ,21,35.772321701049805,64.2276782989502
146,CO,5,28.14484405517578,71.85515785217285
147,TN,37,31.65990924835205,68.34008979797363
148,CA,13,27.337267875671387,72.66273307800293
149,KY,185,25.400108337402344,74.59989166259766
150,MD,3,29.500131607055664,70.49986839294434
151,MN,123,30.07449436187744,69.92550659179688
152,MO,165,26.78642749786377,73.21357345581055
153,VA,735,27.401392459869385,72.59860801696777
154,MS,105,30.880928993225098,69.11907005310059
155,TX,397,24.540977001190186,75.45902252197266
156,NC,189,30.35708713531494,69.64291191101074
157,CT,7,30.244949340820312,69.75505256652832
158,CA,113,30.18338394165039,69.81661415100098
159,MN,37,24.881752490997314,75.11824798583984
160,WA,31,24.918487548828125,75.08151245117188
161,PA,3,31.555302619934082,68.4446964263916
162,MT,49,27.663840293884277,72.33616065979004
163,VA,630,31.15752410888672,68.84247589111328
164,CT,13,31.700215816497803,68.29978370666504
165,SD,11,28.724590301513672,71.27540969848633
166,PA,17,33.696979999542236,66.30301856994629
167,NC,129,26.672319412231445,73.32767868041992
168,VT,13,34.00560283660889,65.9943962097168
169,NH,9,32.74517822265625,67.25482368469238
170,SC,13,28.459344387054443,71.5406551361084
171,NY,91,30.54599905014038,69.4540023803711
172,VA,153,30.72120475769043,69.27879524230957
173,TX,491,26.9629487991333,73.03705215454102
174,NY,87,33.42337512969971,66.57662391662598
175,NH,15,30.162774562835693,69.83722686767578
176,CA,87,27.319453239440918,72.6805477142334
177,MD,21,31.223984241485596,68.7760181427002
178,CO,0,29.119139671325684,70.88086128234863
179,TX,41,32.243794441223145,67.75620651245117
180,ID,81,23.80171489715576,76.19828414916992
181,NC,21,31.46470832824707,68.53529357910156
182,VA,179,29.286099433898926,70.71390151977539
183,CA,59,31.19491195678711,68.80508995056152
184,VA,760,34.38913154602051,65.61086845397949
185,UT,49,21.574278831481934,78.42572021484375
186,FL,117,26.033599376678467,73.96640396118164
187,VT,15,32.02133560180664,67.97866439819336
188,VT,1,35.758235931396484,64.24176406860352
189,MD,0,33.59273624420166,66.40726470947266
190,NY,79,33.39358615875244,66.60641288757324
191,MN,139,26.058945655822754,73.94105529785156
192,ND,17,23.850582599639893,76.1494140625
193,CA,61,22.468473434448242,77.53152465820312
194,MO,183,28.175117015838623,71.82488250732422
195,TX,43,33.40145969390869,66.59854125976562
196,NJ,0,36.47967720031738,63.52032470703125
197,NM,49,33.195228576660156,66.80477142333984
198,VA,750,30.222976684570312,69.77702522277832
199,MA,9,34.822157859802246,65.17784309387207
200,NE,153,25.90946054458618,74.09054183959961
201,OH,49,33.322265625,66.67773628234863
202,CO,65,34.25688362121582,65.74311828613281
203,VA,85,31.75669288635254,68.2433090209961
