,CountyNo,"NativeAmerican (AmericanIndianAlaskaNative, NativeHawaianPacific)","Asian (EastAsian,SouthAsian)",Black, White, Mixed,OtherUnknown,STATE,HHI
132,41,51,61,5398,4845,513,527,AR,0.4094052859916196
133,43,103,108,4846,11291,636,366,AR,0.503388025812024
134,45,792,1475,14384,94088,9422,3337,AR,0.6007284498648605
135,47,224,163,79,15367,1081,183,AR,0.8122603727776191
136,49,66,35,27,11249,635,63,AR,0.8707037537132056
137,51,873,972,8128,78837,7999,3371,AR,0.6335562954141123
138,53,82,77,458,16304,859,178,AR,0.8273515248688637
139,55,455,181,933,41038,2430,699,AR,0.8086987390867771
140,57,145,96,5683,11006,1352,1783,AR,0.39360182819740663
141,59,200,114,3472,26525,2070,659,AR,0.6599259189096495
142,61,120,63,2642,8164,760,1036,AR,0.46067578643762264
143,63,276,345,849,32108,2426,1934,AR,0.7235957754791528
144,65,98,27,256,12306,767,123,AR,0.8252202869267385
145,67,51,63,2786,12890,698,267,AR,0.6215186957647298
146,69,334,673,37835,25478,2071,869,AR,0.4611553949510374
147,71,310,926,482,20088,1991,1952,AR,0.6221435668154172
148,73,41,32,2057,3906,224,48,AR,0.4911496769710755
149,75,64,39,143,15044,751,175,AR,0.863035396712706
150,77,41,13,4663,3465,297,121,AR,0.45774058950784213
151,79,50,23,3652,8324,508,384,AR,0.49581946814536315
152,81,179,23,2178,8714,761,171,AR,0.5622720427045244
153,83,249,328,232,18826,1271,225,AR,0.7979674381767461
154,85,418,733,4386,61624,5369,1485,AR,0.7025087734584456
155,87,481,102,41,14275,1149,473,AR,0.75313405680996
156,89,143,56,20,15569,961,77,AR,0.8595370019419295
157,91,285,205,10988,28036,2341,745,AR,0.5030483347660296
158,93,107,245,14323,23208,1777,1025,AR,0.4519140510209148
159,95,42,28,2760,3568,257,144,AR,0.44211871480109394
160,97,108,50,18,7577,505,226,AR,0.8020688636857218
161,99,45,45,2444,5218,383,175,AR,0.48340442046394166
162,101,73,24,7,6689,401,31,AR,0.8603428981932687
163,103,74,126,8899,12194,1132,225,AR,0.44684051479223624
164,105,55,12,107,9165,567,113,AR,0.8402649697583773
165,107,48,65,10343,5616,409,87,AR,0.5052793415824189
166,109,96,16,241,8681,628,509,AR,0.7354406689170392
167,111,103,61,1783,19391,1166,461,AR,0.7219998341838169
168,113,375,100,43,16428,1658,617,AR,0.7393792034075072
169,115,632,679,2100,51409,5162,3399,AR,0.6687214603921648
170,117,26,21,925,6964,302,44,AR,0.7208934153438551
171,119,2451,10035,143548,199197,25294,18600,AR,0.3852958768540132
172,121,683,75,140,16684,850,139,AR,0.810681212014748
173,123,73,127,12561,9551,589,189,AR,0.46779576256578614
174,125,904,1467,10414,98388,7975,4268,AR,0.6482243917985694
175,127,216,278,35,8210,739,358,AR,0.7049688705258307
176,129,78,20,5,7123,556,46,AR,0.8331740037270399
177,131,2995,5789,8061,86828,13722,10404,AR,0.486334566286623
178,133,726,65,578,9594,1788,3088,AR,0.4210996048489233
179,135,146,60,118,15876,935,136,AR,0.8481045536208144
180,137,105,30,21,11488,627,88,AR,0.8667222242295636
181,139,166,280,12729,23216,1618,1045,AR,0.46211585961174806
182,141,133,56,77,14485,845,200,AR,0.8440260991608569
183,143,12372,5718,8652,168351,25820,24958,AR,0.4944746424921866
184,145,399,623,3728,65237,5098,1737,AR,0.7284980202394215
185,147,8,22,1613,4255,318,53,AR,0.5295441179280771
186,149,210,202,251,15330,1728,2542,AR,0.5957403932396474
187,1,33782,545261,164879,523836,190816,223779,CA,0.24256262238061613
188,3,236,12,10,814,119,13,CA,0.5055587134799837
189,5,839,582,1236,31104,3878,2835,CA,0.6062378253579845
190,7,5065,10533,3644,149557,24685,18148,CA,0.5237076508006592
191,9,847,743,364,36315,5028,1995,CA,0.6578262836374126
192,11,593,276,198,9364,4259,7149,CA,0.33001671706689845
193,13,18293,217823,101485,501697,153475,173154,CA,0.2672659003428699
194,15,2480,840,855,17193,3439,2936,CA,0.4204807105299713
195,17,2242,9200,1537,146624,21948,9634,CA,0.6064055134764376
196,19,23708,113328,48707,374678,163403,284830,CA,0.2594794465677846
197,21,1141,647,177,15753,3946,7253,CA,0.38039758192681783
198,23,8936,3615,1879,98095,16156,7782,CA,0.5391781103708906
199,25,4431,3049,4362,47537,49795,70528,CA,0.30227981849602625
200,27,2490,282,97,11752,2128,2267,CA,0.42605833092483375
201,29,19671,46777,50130,371734,146770,274153,CA,0.29027835359081633
202,31,4083,5923,9023,61226,24230,48001,CA,0.2912861299084172
203,33,2462,1004,1199,46858,8941,7699,CA,0.5043687413857851
204,35,1373,494,2277,21066,2590,4930,CA,0.45003682137056533
205,37,187986,1499984,794364,3259427,1488068,2784180,CA,0.2344045245224457
206,39,7847,3907,4596,65248,25354,49303,CA,0.3042672835691619
207,41,4489,16431,6339,179377,29685,26000,CA,0.4950221932931865
208,43,512,298,108,13385,2032,796,CA,0.6279440759087057
209,45,4817,1788,642,59510,12067,12777,CA,0.4620707393998101
210,47,8325,20715,9158,104534,49355,89115,CA,0.27678991688731797
211,49,459,61,67,6772,739,602,CA,0.6207874223807636
212,51,326,163,74,9349,1584,1699,CA,0.5337937697013104
213,53,14913,26680,9943,158879,78459,150161,CA,0.2852361434659275
214,55,2297,10753,2443,76158,20737,25631,CA,0.36819747954725707
215,57,1159,1427,460,85604,10097,3494,CA,0.712296497032588
216,59,47357,706813,53842,1383257,447181,548539,CA,0.28739008878996397
217,61,4664,35500,6890,288586,48875,20224,CA,0.5335887812750983
218,63,497,152,103,16608,1830,600,CA,0.7144631720482959
219,65,51924,171243,156477,995627,405671,637243,CA,0.2767666852784583
220,67,37551,281733,152795,715722,211669,185585,CA,0.27688011109676397
221,69,1823,2423,634,27230,11470,20629,CA,0.31730547818045024
222,71,49124,182287,184558,782691,361854,621140,CA,0.2519241575554015
223,73,56254,410752,155813,1633129,521692,520994,CA,0.31310277830138167
224,75,9951,296505,46725,361382,86233,73169,CA,0.30581266471155855
225,77,17674,139323,60351,267339,112805,181741,CA,0.23153733509915436
226,79,3572,10402,4610,198338,38058,27444,CA,0.5225680405395287
227,81,16114,230242,15707,300188,94267,107924,CA,0.28092475723077803
228,83,10336,26549,7374,224748,79720,99502,CA,0.33663782352217353
229,85,29046,759030,44966,622617,209468,271132,CA,0.28914507455335553
230,87,3991,12553,3150,160565,38708,51894,CA,0.41103474502005716
231,89,5282,5978,1912,142899,19561,6523,CA,0.6302687868565979
232,91,25,7,7,2703,388,106,CA,0.713228497083949
233,93,2057,888,496,33597,5050,1988,CA,0.5988997732805831
234,95,9550,72766,62157,175768,66457,66793,CA,0.2383702367543613
235,97,10695,22845,7615,306684,66021,75003,CA,0.4382395244106542
236,99,14812,34778,15913,256602,84644,146129,CA,0.3142072270956908
237,101,2221,18234,1982,46810,12490,17896,CA,0.3030989576395236
238,103,2013,1027,420,44926,7844,9599,CA,0.5024389972975852
239,105,469,2222,71,11627,1356,367,CA,0.5482462817378647
240,107,11368,17194,6668,186255,86402,165230,CA,0.3123954873051427
241,109,1107,816,1009,44207,5673,2808,CA,0.645605798891409
242,111,16296,64923,15330,428677,145181,173436,CA,0.3365354026779707
243,113,4545,30392,6164,107304,34111,33887,CA,0.3162135677678447
244,115,2159,5774,3052,46590,11773,12227,CA,0.37659531377777505
245,1,10445,23268,17463,289718,91292,87386,CO,0.3736270578235187
