,CountyNo,"NativeAmerican (AmericanIndianAlaskaNative, NativeHawaianPacific)","Asian (EastAsian,SouthAsian)",Black, White, Mixed,OtherUnknown,STATE,HHI
1631,65,108,22,7,4339,214,40,MT,0.844169240465027
1632,67,160,75,62,15849,915,130,MT,0.8529746039969393
1633,69,0,1,0,466,29,0,MT,0.8861130983350677
1634,71,341,15,5,3524,282,50,MT,0.7095016506974688
1635,73,918,25,5,4676,257,17,MT,0.6547008423175906
1636,75,33,0,5,1547,99,10,MT,0.8378149702610365
1637,77,411,23,67,6092,331,22,MT,0.775105459590412
1638,79,13,7,2,1004,62,0,MT,0.8549838478589966
1639,81,398,253,94,40362,2533,534,MT,0.8384093134873486
1640,83,185,121,63,10117,800,205,MT,0.7807190518373316
1641,85,6246,48,32,3630,776,62,MT,0.45316768018960984
1642,87,2950,38,20,4834,427,60,MT,0.46499620792126345
1643,89,462,56,23,10888,824,147,MT,0.7769656477627471
1644,91,63,13,14,3200,224,25,MT,0.8219983023702064
1645,93,585,219,131,31800,2060,338,MT,0.823124361589202
1646,95,89,25,17,8216,533,83,MT,0.8439927499430544
1647,97,29,15,8,3375,228,23,MT,0.8459887146979483
1648,99,108,18,21,5685,349,45,MT,0.8372782387032445
1649,101,347,37,32,4268,241,46,MT,0.7445648248070553
1650,103,21,4,1,698,33,5,MT,0.8417825724540339
1651,105,696,21,15,6392,387,67,MT,0.7226159457434012
1652,107,18,3,6,1877,154,11,MT,0.828669248294871
1653,109,9,2,2,870,48,6,MT,0.8648699441552038
1654,111,7458,1320,1309,139965,11838,2841,MT,0.7295573336274709
1655,1,195,429,258,26656,2112,1555,NE,0.737055756058633
1656,3,17,22,22,5937,204,93,NE,0.8907933663957869
1657,5,0,0,3,400,31,0,NE,0.85460510947355
1658,7,5,3,0,614,39,13,NE,0.8336782044395918
1659,9,0,3,1,397,24,6,NE,0.851798816759169
1660,11,19,7,21,5091,166,75,NE,0.8969598053698115
1661,13,370,75,66,9063,853,415,NE,0.7076598650414306
1662,15,18,0,0,1724,55,13,NE,0.9083037758310186
1663,17,12,8,2,2664,113,104,NE,0.8449445137882832
1664,19,308,670,643,43363,2925,2175,NE,0.755297361912699
1665,21,100,35,22,6248,266,51,NE,0.8658254753915015
1666,23,24,9,28,7725,291,292,NE,0.8544670678298413
1667,25,108,108,103,24633,1337,309,NE,0.860412149373968
1668,27,15,12,28,8064,185,76,NE,0.9265903304264614
1669,29,9,11,20,3310,246,297,NE,0.7327679305311244
1670,31,292,7,11,4830,280,35,NE,0.7895264731605394
1671,33,53,75,60,8518,478,284,NE,0.8129745600728507
1672,35,34,10,10,5502,309,239,NE,0.8166110807171114
1673,37,303,50,378,5839,1031,2981,NE,0.3954361544609135
1674,39,80,18,23,7841,432,619,NE,0.7639435444954205
1675,41,45,19,48,9920,365,148,NE,0.8864105761822314
1676,43,865,609,1613,11028,3290,4177,NE,0.32978700171799413
1677,45,347,53,164,7069,446,120,NE,0.7487577316781944
1678,47,316,200,1210,15098,2510,4777,NE,0.44496034363320897
1679,49,13,6,1,1709,75,34,NE,0.8666241988441331
1680,51,33,22,18,4735,390,408,NE,0.7235980281562147
1681,53,369,204,247,30548,2620,3179,NE,0.6879971328561905
1682,55,6279,27827,64721,398426,50241,37032,NE,0.490651985484358
1683,57,23,1,7,1506,78,39,NE,0.83203812091606
1684,59,22,13,22,5227,200,67,NE,0.8881517937484815
1685,61,6,17,6,2760,69,31,NE,0.9134183791876685
1686,63,9,0,17,2376,88,29,NE,0.8910968186049619
1687,65,31,6,9,4293,221,76,NE,0.8600929366230894
1688,67,102,99,140,20298,877,188,NE,0.8764274462666206
1689,69,5,2,7,1748,73,39,NE,0.8720216773029571
1690,71,3,0,3,1758,48,1,NE,0.9409541130445708
1691,73,5,11,4,1778,71,24,NE,0.883803006544812
1692,75,12,1,5,580,12,1,NE,0.9019449749679229
1693,77,6,6,1,2102,36,37,NE,0.9235062280880589
1694,79,950,727,1919,43702,5899,9698,NE,0.5166685886006543
1695,81,42,15,27,8894,338,113,NE,0.8911989118939624
1696,83,16,11,2,2926,99,19,NE,0.9077327497538211
1697,85,5,2,0,768,45,36,NE,0.8095330378198968
1698,87,4,2,1,2497,91,21,NE,0.912368253701054
1699,89,54,52,43,9460,279,239,NE,0.8739997489569834
1700,91,5,1,4,665,35,1,NE,0.877298865922484
1701,93,28,12,14,6200,178,43,NE,0.9176883349979874
1702,95,45,15,20,6671,308,181,NE,0.851479579377919
1703,97,52,76,315,4187,218,442,NE,0.6389900693608156
1704,99,28,12,3,6159,311,175,NE,0.850930521136192
1705,101,42,46,19,7509,480,239,NE,0.8158201784957945
1706,103,3,0,0,737,23,6,NE,0.9194772736112123
1707,105,42,15,1,3122,193,61,NE,0.8301855880199005
1708,107,965,28,16,7018,273,91,NE,0.713935490609487
1709,109,2871,14086,13759,258438,22987,10467,NE,0.6516793426914274
1710,111,221,325,427,30678,2086,939,NE,0.7873336090783264
1711,113,1,4,0,676,35,0,NE,0.8938118348366155
1712,115,0,1,0,565,33,8,NE,0.8695341824784434
1713,117,4,2,0,378,14,1,NE,0.8988699819724748
1714,119,542,448,414,28898,2719,2564,NE,0.6710357279497629
1715,121,43,32,44,7049,345,155,NE,0.8475810425838712
1716,123,54,21,20,3892,317,251,NE,0.7381382565328507
1717,125,14,6,4,3224,121,11,NE,0.9111363397640141
1718,127,33,33,66,6602,253,87,NE,0.8725665086297614
1719,129,4,4,6,3862,170,49,NE,0.8913107947540181
1720,131,76,90,89,14172,924,561,NE,0.7979560265598551
1721,133,8,0,4,2461,57,14,NE,0.9363575288754402
1722,135,8,3,10,2660,112,65,NE,0.8683153276550274
1723,137,37,28,35,8286,383,199,NE,0.8560453025167888
1724,139,24,16,31,6993,200,53,NE,0.9142329549121193
1725,141,315,205,374,26932,2790,3680,NE,0.6350368417485793
1726,143,24,2,11,4798,263,116,NE,0.8498603461896058
1727,145,62,39,113,9734,435,319,NE,0.8299794703358523
1728,147,227,36,24,7151,406,27,NE,0.8289520215933975
1729,149,1,0,3,1223,26,9,NE,0.9396299486890981
1730,151,252,277,137,9893,1433,2300,NE,0.515878233280687
1731,153,1251,4794,7459,152525,17511,7064,NE,0.652371871808469
1732,155,90,86,80,20897,897,228,NE,0.8816339168057956
1733,157,793,281,287,28265,3794,2664,NE,0.6306889499148799
1734,159,62,57,105,16566,650,169,NE,0.8865592756010726
1735,161,568,30,15,4143,286,85,NE,0.6686879989061911
1736,163,18,5,10,2807,109,10,NE,0.9013209823427784
1737,165,4,4,0,1065,44,18,NE,0.882234858041103
1738,167,39,18,22,5308,313,142,NE,0.8290707564401896
1739,169,21,10,10,4817,132,44,NE,0.9164337254385712
1740,171,4,1,0,630,30,4,NE,0.8888911232211923
1741,173,3989,9,24,2475,192,84,NE,0.48137397495623235
1742,175,20,10,15,3865,106,43,NE,0.9075325327375875
1743,177,41,100,72,19518,887,247,NE,0.8770380699266661
1744,179,69,122,351,8023,483,649,NE,0.6930193696475626
1745,181,16,9,14,3160,157,39,NE,0.8686692072939284
1746,183,3,0,0,741,29,1,NE,0.9179670025172099
1747,185,93,95,174,12789,577,397,NE,0.8224769814394236
1748,1,1267,680,460,18717,2893,1499,NV,0.5578876568285855
1749,3,44307,237663,286684,1016368,332095,348344,NV,0.2738081098935997
1750,5,1109,934,243,40307,4651,2244,NV,0.6751494142567581
1751,7,2936,598,522,37435,5917,6294,NV,0.515015173850378
1752,9,30,6,4,548,76,65,NV,0.5856849584431761
1753,11,25,4,3,1577,193,53,NV,0.7345593246198443
1754,13,724,164,147,12063,2020,2167,NV,0.5183395388896639
1755,15,278,27,12,4282,601,534,NV,0.5797067869599446
1756,17,53,21,171,3950,196,108,NV,0.7749157761515847
1757,19,1564,980,530,44813,7084,4264,NV,0.5928710318825513
1758,21,793,65,165,3001,361,169,NV,0.47375581250244714
1759,23,1054,1060,1573,39153,5431,3320,NV,0.5929387839201609
1760,27,247,113,322,4455,591,922,NV,0.47993333710215386
1761,29,57,67,24,3427,405,124,NV,0.7084352165338622
1762,31,12480,28799,12295,311769,63188,57961,NV,0.4465560303553
1763,33,425,106,442,6746,765,596,NV,0.5680803770692232
1764,510,1594,1416,1142,39852,7542,7093,NV,0.4947530557180416
1765,1,142,588,359,59134,3090,392,NH,0.8641557191907175
1766,3,120,359,134,47199,1952,343,NH,0.8889252454275162
1767,5,222,1079,708,69907,3900,642,NH,0.8389448813548319
1768,7,96,202,526,28946,1343,155,NH,0.8591958142254618
1769,9,246,2867,819,81268,5004,914,NH,0.7996774778139435
1770,11,1162,16523,10937,350270,29190,14855,NH,0.6940896590424458
1771,13,426,3026,2650,138454,7916,1336,NH,0.8137295257171349
1772,15,552,6316,2278,285715,15528,3787,NH,0.8300756106989993
1773,17,357,4506,1513,115890,7256,1367,NH,0.788453532433673
1774,19,161,405,203,39420,2563,311,NH,0.8416818130350785
1775,1,1595,21784,41519,156796,25648,27192,NJ,0.37393564203219265
1776,3,4752,158630,54831,543849,97287,96383,NJ,0.3752023200174659
1777,5,1471,26235,77749,303024,37340,16041,NJ,0.4697777457578916
1778,7,2664,32598,101109,293198,42631,51285,NJ,0.37113800601848174
1779,9,281,908,3567,81536,5675,3296,NJ,0.7388194503780658
1780,11,2401,2108,28581,74606,18406,28050,NJ,0.31640666189312255
1781,13,4982,47591,335047,261487,90536,124085,NJ,0.27682078835432467
1782,15,811,9543,32992,230313,20501,8134,NJ,0.5987057808049527
1783,17,7805,124555,79498,248561,104485,159950,NJ,0.22873132755558914
1784,19,305,5714,3174,106790,8859,4105,NJ,0.6941736845158459
1785,21,2648,48537,74993,178447,33143,49572,NJ,0.28917761588627133
1786,23,4954,228813,84360,361742,78265,105028,NJ,0.2785188719317428
1787,25,2524,36316,41124,476056,51336,36259,NJ,0.563913841408869
1788,27,1759,58034,16669,354824,46739,31260,NJ,0.5116631366612071
1789,29,2386,11526,19079,534036,42352,27850,NJ,0.7099092419651158
1790,31,6578,30852,57809,229573,64619,134687,NJ,0.2888862576313444
1791,33,355,667,9534,46600,4677,3004,NJ,0.5456744993171022
1792,35,1618,67309,31842,185499,31239,27854,NJ,0.34968689541420195
1793,37,356,3002,3088,121879,11427,4469,NJ,0.7223044417352045
1794,39,4222,32434,117306,236589,79211,105583,NJ,0.2665292020338897
1795,41,252,2934,5899,86875,9118,4554,NJ,0.640194710082634
1796,1,38991,20253,21344,353144,141999,100713,NM,0.3439939827441456
1797,3,59,8,37,2961,360,154,NM,0.6968212246143233
1798,5,946,667,1225,36649,12271,13399,NM,0.39480062975290425
1799,6,12258,209,284,8080,3476,2865,NM,0.3195916054465797
1800,7,229,61,36,8137,2608,1316,NM,0.4875054394201991
1801,9,671,810,2900,27928,7910,8211,NM,0.3920238354451606
1802,11,15,11,8,1298,188,178,NM,0.6077412489716302
1803,13,4284,2700,4072,104209,60097,44199,NM,0.34158793025704426
1804,15,983,597,977,36266,11666,11825,NM,0.4103559019642585
1805,17,609,202,309,18266,5493,3306,NM,0.4723808345912887
1806,19,62,50,74,2067,1357,842,NM,0.3448343678280616
1807,21,7,0,4,428,172,46,NM,0.49797173166160463
1808,23,47,14,14,2655,973,475,NM,0.4711347891036524
1809,25,987,661,2801,34303,15558,20145,NM,0.3308035235797427
1810,27,604,162,88,14263,3180,1972,NM,0.5302239494225238
1811,28,172,1238,167,14513,2599,730,NM,0.5820907099423006
1812,29,364,175,304,12797,6331,5456,NM,0.36172706686102923
1813,31,56977,948,353,7639,3834,3151,NM,0.6266362193304428
1814,33,112,16,14,2020,1322,705,NM,0.36119248761705297
1815,35,5164,1056,2662,38167,12419,8371,NM,0.37284765890032767
1816,37,146,49,110,6181,1256,1004,NM,0.5337271165194776
1817,39,6942,256,206,13865,10541,8553,NM,0.26074847298682846
1818,41,262,189,504,11910,3106,3220,NM,0.44046849835906177
1819,43,18579,2545,3327,81521,27094,15768,NM,0.3607472095045117
1820,45,50092,916,714,50416,11067,8456,NM,0.35444709145407943
1821,47,548,156,344,12382,8080,5691,NM,0.3398198184229806
1822,49,5686,2367,1412,88915,34095,22348,NM,0.40081942925332914
1823,51,244,125,93,8815,1444,855,NM,0.6015069008204664
1824,53,2193,311,176,8099,3187,2629,NM,0.31808735501796015
1825,55,2304,210,173,19084,7588,5130,NM,0.3812354182339458
1826,57,398,54,133,9801,2327,2332,NM,0.47312041056403176
1827,59,88,7,66,2712,838,368,NM,0.49312670732441005
1828,61,3311,446,973,39446,17810,14219,NM,0.35946249743222936
1829,1,1028,24473,43206,215496,21772,8873,NY,0.49892451057677933
1830,3,100,379,829,42555,1915,678,NY,0.8414092883985407
1831,5,23179,69559,487118,207573,192173,493052,NY,0.2608818166628671
1832,7,640,9372,12684,158674,13338,3975,NY,0.6490262572098578
1833,9,2720,567,1043,68128,4013,571,NY,0.7862330224145676
1834,11,364,385,2910,67017,4539,1033,NY,0.7777580535288869
1835,13,730,818,3354,109333,9144,4278,NY,0.7405400675938026
1836,15,255,1432,5315,70463,5736,947,NY,0.7102497930603572
1837,17,141,245,357,43531,2593,353,NY,0.8530202934133144
1838,19,311,975,3060,70142,4345,1010,NY,0.7765151806272922
1839,21,209,1431,2557,51533,4256,1584,NY,0.708255884297011
1840,23,139,1028,895,41250,2672,825,NY,0.7810111457871676
1841,25,155,489,1072,39466,2475,651,NY,0.7974367450530472
1842,27,1386,10781,32289,207251,25824,18380,NY,0.5152661056673733
1843,29,5874,46384,134795,693563,51816,21804,NY,0.5541008868722769
1844,31,90,229,676,34102,1978,306,NY,0.8354951135589049
1845,33,4141,191,1848,39036,1856,483,NY,0.6845464646953623
1846,35,125,349,1068,47775,3319,688,NY,0.8071949943089114
1847,37,436,416,1441,51541,3133,1421,NY,0.7834042358342135
1848,39,168,506,2370,40490,3449,948,NY,0.7217504356040004
1849,41,15,12,31,4785,242,22,NY,0.8801889419564074
1850,43,143,370,759,55246,3239,382,NY,0.847040552476162
1851,45,903,2248,6707,96244,8278,2341,NY,0.6890714400632627
1852,47,22085,373680,772050,1028774,237299,302186,NY,0.2594393057824013
1853,49,68,76,109,25121,1024,184,NY,0.8946602277746101
1854,51,151,657,1191,55442,3398,995,NY,0.8077076799404437
1855,53,477,679,1120,61504,3719,517,NY,0.8211496981060984
1856,55,2364,32630,118879,521127,54084,30359,NY,0.5038938373422582
1857,57,179,489,1267,40209,4453,2935,NY,0.671342135154162
1858,59,6654,164201,153274,817196,117311,137138,NY,0.38542394310842915
1859,61,11764,221995,229361,847604,175441,208086,NY,0.3116330712597703
1860,63,2475,2459,16740,175821,12364,2807,NY,0.6935302206010869
1861,65,785,10626,16184,185042,13521,5967,NY,0.6464942680213627
1862,67,3502,20235,56947,353232,32687,9913,NY,0.5707740402982812
1863,69,289,1383,2662,98880,6597,2647,NY,0.7778143482885386
1864,71,3134,12025,45543,248085,40500,52023,NY,0.4229836527107047
1865,73,236,154,1951,34643,2437,922,NY,0.7439443486035313
1866,75,539,871,1584,107264,6264,1003,NY,0.8361759755569845
1867,77,132,827,1286,52403,3128,748,NY,0.8054675226085827
1868,79,450,2225,2828,75406,9447,7312,NY,0.6124230305841367
1869,81,32231,660631,403077,621475,243364,444686,NY,0.21484459855273502
1870,83,466,5776,12872,126828,12126,3062,NY,0.6332512796376583
1871,85,3833,59279,52039,295519,38820,46257,NY,0.39556037779230857
1872,87,1826,20685,35542,214890,27300,38086,NY,0.43740288561938456
1873,89,1228,1105,3074,97530,4563,1005,NY,0.8108246608738632
1874,91,506,7494,4047,206278,14581,2603,NY,0.7724363722603241
1875,93,1270,8354,17322,107493,15159,8463,NY,0.48943200154469413
1876,95,86,211,305,27112,1696,304,NY,0.8360585516681479
1877,97,51,108,101,16750,795,93,NY,0.8779079763411695
1878,99,165,269,1414,29737,1775,454,NY,0.7781662782410298
1879,101,246,1633,1469,84953,4618,665,NY,0.8270945907733934
1880,103,9615,65779,114294,1022846,147212,166174,NY,0.4779961913675018
1881,105,447,1597,6814,56040,7558,6168,NY,0.5313768488872465
1882,107,93,379,452,44557,2575,399,NY,0.8486237403181697
1883,109,400,10532,4597,78657,8699,2855,NY,0.5726672673074686
1884,111,892,3860,11063,141728,15918,8390,NY,0.6213734166923227
1885,113,171,753,799,59911,3606,497,NY,0.8339547072552634
1886,115,197,326,1715,55162,3199,703,NY,0.8133882566007116
1887,117,278,487,2562,80476,5813,1667,NY,0.7824503295089809
1888,119,7805,65707,141094,533150,109790,146911,NY,0.3391416079409827
1889,121,104,218,1999,36046,1570,594,NY,0.795115923067079
1890,123,59,93,161,23264,947,250,NY,0.8834380536385407
1891,1,1532,2848,34014,105847,11735,15439,NC,0.4338231743329818
1892,3,149,392,1932,31284,1678,1009,NC,0.7427020053927993
1893,5,53,15,104,9544,570,602,NC,0.7742742922258075
1894,7,113,221,9871,10692,715,443,NC,0.43691309431744113
1895,9,89,103,127,24435,1100,723,NC,0.8478058960442659
1896,11,90,63,664,15746,696,547,NC,0.785902061063258
1897,13,184,166,10303,29817,1830,2352,NC,0.5036347467084159
1898,15,69,63,10720,6339,536,207,NC,0.48329133019602294
1899,17,810,48,9576,16102,1278,1792,NC,0.40669815806829857
1900,19,987,910,11546,112307,7389,3554,NC,0.6858559893372012
1901,21,1739,3322,15311,218867,18964,11249,NC,0.6698965449240314
1902,23,1407,3168,4854,69671,4641,3829,NC,0.6423449702692372
1903,25,1270,11984,42622,137756,17309,14863,NC,0.42087006379801906
1904,27,356,544,3914,68859,4458,2521,NC,0.7353913301012264
1905,29,51,119,1055,8312,696,122,NC,0.6595267426914315
1906,31,375,594,3274,58255,3771,1417,NC,0.7467346067476787
1907,33,107,64,6824,14232,956,553,NC,0.4843096250336142
1908,35,1117,7023,12835,118946,11201,9488,NC,0.5651723035055306
1909,37,508,1627,7914,54431,5462,6343,NC,0.532415161492839
1910,39,436,158,381,25640,1832,327,NC,0.7986454542196086
1911,41,48,40,4408,8351,559,302,NC,0.4767048313275284
1912,43,53,40,65,10150,604,177,NC,0.8411052278460143
1913,45,302,861,20159,71076,5030,2091,NC,0.5541873367458533
1914,47,1746,161,14586,30380,1979,1771,NC,0.4471176582252003
1915,49,580,3093,20204,66703,7137,3003,NC,0.4857154827576635
1916,51,7010,9173,127610,141912,33190,15833,NC,0.3383426722981095
1917,53,145,275,1392,23878,2003,407,NC,0.7299437139853853
1918,55,191,265,703,32429,2161,1166,NC,0.776588431983752
1919,57,1068,2468,16065,131922,9616,7791,NC,0.6245113957325441
1920,59,214,280,2428,35340,2537,1913,NC,0.6934279205246701
1921,61,502,173,11604,26084,3142,7210,NC,0.3696208061919863
1922,63,2416,16817,110610,139231,23713,32046,NC,0.317464581467916
1923,65,206,113,27429,17631,1654,1867,NC,0.4472542403218455
1924,67,2813,9280,95324,214877,28100,32196,NC,0.39063345286096496
1925,69,515,465,15990,43473,3999,4131,NC,0.46342017289887316
1926,71,1156,3543,40323,156794,15109,11018,NC,0.5114489472595326
1927,73,83,25,3023,6762,498,87,NC,0.5021133181873612
1928,75,595,22,50,6913,353,97,NC,0.748758097359063
1929,77,406,370,18435,34579,3276,3926,NC,0.4198907929429995
1930,79,197,37,7250,9992,880,2095,NC,0.3768288193505772
1931,81,3448,28922,181848,263428,34931,28722,NC,0.3595728615175367
1932,83,1678,284,24846,19304,1654,856,NC,0.4214429991668655
1933,85,1697,1494,27417,81867,11612,9481,NC,0.43069285174767064
1934,87,364,370,663,56440,3022,1230,NC,0.8292585024999511
1935,89,1194,1347,3388,94151,7807,8394,NC,0.6663972566624464
1936,91,209,123,12393,7622,739,466,NC,0.4574996510571762
1937,93,4276,750,16766,21031,5529,3730,NC,0.2900354148609233
1938,95,12,7,1169,2956,229,216,NC,0.48453512884159644
1939,97,793,4785,21678,139369,12456,7612,NC,0.5775553408479556
1940,99,4108,512,856,33426,2544,1663,NC,0.6158061878861208
1941,101,1870,1886,33730,142425,17938,18150,NC,0.4732734529033432
1942,103,66,34,2579,5867,418,208,NC,0.49089026234872857
1943,105,582,663,10885,38413,5324,7418,NC,0.41902508463049126
1944,107,213,336,22195,27113,2590,2675,NC,0.40868237477752706
1945,109,361,711,4482,72716,5536,3004,NC,0.7096641580378685
1946,111,216,388,1732,38356,2109,1777,NC,0.7457663037883645
1947,113,287,265,257,32099,2336,1770,NC,0.758486704974618
1948,115,74,87,215,19373,1119,325,NC,0.8387751253943483
1949,117,85,99,8922,11624,731,570,NC,0.4441930594985822
1950,119,7351,72035,330458,520567,87490,97581,NC,0.3235651301673012
1951,121,31,54,53,13663,745,357,NC,0.8436165131803659
1952,123,148,393,4226,16917,1321,2746,NC,0.47277824706946575
1953,125,885,1264,10671,77010,6556,3341,NC,0.6134382689544163
1954,127,781,915,36958,47378,4263,4675,NC,0.4049143795612806
1955,129,1192,3515,27386,170837,14644,8128,NC,0.5934184188938456
1956,131,52,27,9689,6915,574,214,NC,0.4654520600678738
1957,133,2285,4729,28026,137072,22268,10196,NC,0.48269892610665655
1958,135,902,12674,15848,99091,12089,8092,NC,0.4723209992317887
1959,137,66,62,2061,9216,628,243,NC,0.5948500683900994
1960,139,243,470,14478,22019,2329,1029,NC,0.42607109055357917
1961,141,385,342,7619,45305,3718,2834,NC,0.5884316696794261
1962,143,49,39,2715,9412,654,136,NC,0.5700176713153091
1963,145,289,125,9937,25554,1936,1256,NC,0.49534727468587714
1964,147,817,3078,60414,88790,9365,7779,NC,0.4034089849055349
1965,149,95,60,698,16934,1095,446,NC,0.772698294953826
1966,151,1166,2173,8748,111459,9850,10775,NC,0.6119158598429204
1967,153,1061,364,12881,23969,2454,2217,NC,0.40807054281619015
1968,155,44950,908,26424,30041,6015,8192,NC,0.27433827394578436
1969,157,471,500,16789,65434,4654,3248,NC,0.5538555572239304
1970,159,849,1522,23012,102693,9796,9003,NC,0.5217559202477139
1971,161,249,348,5903,52808,3630,1506,NC,0.6836355395123815
1972,163,1316,231,14130,31254,3605,8500,NC,0.36252805773466823
1973,165,3760,343,13162,14402,1789,718,NC,0.3413306090897314
1974,167,284,1145,7079,49149,2966,1881,NC,0.6346614013810501
1975,169,194,159,1644,39966,1929,628,NC,0.8093529917603686
1976,171,330,378,2486,59307,4104,4754,NC,0.6997487767382154
1977,173,4185,54,108,8638,908,224,NC,0.4667501337713462
1978,175,147,173,1037,28957,1824,848,NC,0.7753876420617882
1979,177,5,43,938,1903,202,154,NC,0.43377361402275877
1980,179,1337,9572,26981,165562,18480,16335,NC,0.5080132572972685
1981,181,172,286,21237,16682,1708,2493,NC,0.40738521439276487
1982,183,6328,97042,208493,663832,85418,68297,NC,0.3963415360573969
1983,185,982,62,9114,7253,722,509,NC,0.3954244114086985
1984,187,32,37,5375,4999,337,223,NC,0.44642024170467204
1985,189,150,945,2149,45726,2955,2161,NC,0.7212272479849073
1986,191,759,1580,35795,62452,7594,9153,NC,0.3868700756323151
1987,193,229,325,2634,57105,2951,2725,NC,0.7546598751103794
1988,195,514,900,30097,37341,4271,5661,NC,0.37885823519321465
1989,197,203,143,1136,30842,2035,2855,NC,0.6967189335486073
1990,199,85,40,108,16866,868,503,NC,0.8368649962522818
1991,1,15,39,13,2039,83,11,ND,0.860835950413223
1992,3,106,69,186,10025,394,73,ND,0.8550286728377346
1993,5,3218,7,7,2542,170,20,ND,0.4736300094328547
1994,7,5,6,4,911,19,0,ND,0.9298272724727751
1995,9,218,42,31,5754,293,41,ND,0.8170300873341529
1996,11,40,17,0,2793,105,38,ND,0.8724228902967599
1997,13,25,12,13,2082,54,15,ND,0.8956325044107621
1998,15,4574,1054,2283,85148,4285,1114,ND,0.7527383272013042
1999,17,2715,6068,12963,151307,9478,1994,ND,0.6813569830710132
2000,19,28,16,3,3504,131,22,ND,0.8962867473841833
2001,21,28,30,28,4628,207,78,ND,0.8591350196424562
2002,23,23,11,23,2054,79,5,ND,0.8771978144571686
2003,25,457,33,25,3277,263,40,ND,0.6571676647867124
2004,27,65,2,5,2109,133,33,ND,0.8116523301011237
2005,29,13,12,0,3179,87,10,ND,0.9281814576857498
2006,31,20,15,8,3212,112,30,ND,0.8952709749524443
2007,33,13,1,5,1620,91,6,ND,0.873648835184438
2008,35,1869,2495,3065,60056,4679,1006,ND,0.6815172957159848
2009,37,34,11,10,2176,68,2,ND,0.895436879946194
2010,39,12,7,8,2205,68,6,ND,0.9152454210856102
2011,41,52,7,5,2327,88,10,ND,0.8757780517926931
2012,43,18,2,3,2278,64,29,ND,0.906359116951387
2013,45,30,9,14,3923,85,32,ND,0.9192191037966593
2014,47,14,0,2,1778,66,16,ND,0.8996185687462777
2015,49,33,13,11,5054,208,26,ND,0.8956635726980532
2016,51,7,23,7,2390,74,29,ND,0.8934749800809261
2017,53,1899,171,218,10638,1069,709,ND,0.5480632652644392
2018,55,815,48,32,8405,435,36,ND,0.7489292014645357
2019,57,201,44,42,7622,366,75,ND,0.8358645487468177
2020,59,1363,175,466,29150,1629,508,ND,0.7712234431392825
2021,61,2843,105,113,5706,798,244,ND,0.4298766549152842
2022,63,27,9,6,2863,87,23,ND,0.9026963579009321
2023,65,27,5,3,1757,72,13,ND,0.8779596205532072
2024,67,135,27,29,6173,404,76,ND,0.8175585247723244
2025,69,151,17,38,3637,120,27,ND,0.8333761722602245
2026,71,1286,72,73,9438,664,72,ND,0.6770784406504423
2027,73,18,25,38,5400,169,53,ND,0.8976010146780202
2028,75,15,1,5,2161,93,7,ND,0.8984826570170392
2029,77,490,128,155,14874,638,244,ND,0.8125058350722811
2030,79,9286,25,17,2319,523,17,ND,0.6186402656682685
2031,81,13,14,50,3599,158,28,ND,0.8703570703512507
2032,83,11,8,2,1191,48,5,ND,0.8879995000703027
2033,85,3332,2,3,401,155,5,ND,0.7428450632219599
2034,87,2,0,3,680,21,0,ND,0.9286127005272492
2035,89,525,356,1050,28924,1863,928,ND,0.7441651184563114
2036,91,11,0,3,1732,47,5,ND,0.9286637853702233
2037,93,305,137,456,19722,783,190,ND,0.8362891286315391
2038,95,72,10,2,1987,77,14,ND,0.8471063983822839
2039,97,78,18,48,7410,360,83,ND,0.8608533470778064
2040,99,145,47,71,9085,799,416,ND,0.7472595621413591
2041,101,1839,1120,3024,57038,5518,1380,ND,0.6749216834140306
2042,103,17,12,18,3801,123,11,ND,0.9121665273741886
2043,105,1300,636,2096,31854,3537,1527,ND,0.6178099955125597
2044,1,79,39,84,26277,919,79,OH,0.9157080797504927
2045,3,353,840,12573,80753,6237,1450,OH,0.6433962733414881
2046,5,147,322,394,49249,2050,285,OH,0.8834256824962721
2047,7,221,349,3606,85486,6253,1659,OH,0.7733563284451053
2048,9,249,1223,2894,54513,2922,630,OH,0.7672701878776526
2049,11,127,255,240,43929,1600,271,OH,0.8967644395094702
2050,13,100,266,2117,60831,2846,337,OH,0.8397357313582882
2051,15,80,97,304,41237,1762,196,OH,0.8931367830744202
2052,17,1975,15730,34704,299100,25353,13495,OH,0.6020622865119103
2053,19,81,52,122,25307,1024,135,OH,0.8984937814217564
2054,21,98,129,688,35615,1946,238,OH,0.8492084511997967
2055,23,512,902,12200,111088,8664,2635,OH,0.6797298186532005
2056,25,512,2549,3347,189024,11223,1946,OH,0.8245039796680232
2057,27,110,206,832,38484,1953,433,OH,0.8415498967652633
2058,29,335,346,2122,94155,4304,615,OH,0.8564281072824969
2059,31,76,104,397,34730,1185,120,OH,0.9010228267503475
2060,33,52,137,319,39652,1684,181,OH,0.8919497183236657
2061,35,3351,44071,370895,736116,74668,35716,OH,0.4302104143576228
2062,37,133,182,303,49322,1588,353,OH,0.9048202296608769
2063,39,162,142,668,33648,2308,1358,OH,0.7776215891978431
2064,41,399,18216,7840,173231,11978,2460,OH,0.6663589757294189
2065,43,206,481,6807,62122,5191,815,OH,0.6878087078005513
2066,45,413,3093,13484,131676,8630,1625,OH,0.6971540496062569
