,CountyNo,STATE,HHI,FractionOfForeigners,MedianIncome,PovertyRate,Movers,Gini,"Percent of adults with less than a high school diploma, 2016-20","Percent of adults with a high school diploma only, 2016-20","Percent of adults completing some college or associate's degree, 2016-20",Percent of adults with a bachelor's degree or higher 2016-20,BelowUni,AboveUni,Rural_Urbanization,PopulationDevelopment
63,127,AL,0.7703747053156936,0.013829325880595577,25225.0,0.16717261761351773,4.8,0.4524,18.33968162536621,35.001121520996094,33.23997497558594,13.419224739074707,53.340803146362305,46.659199714660645,1.0,-3502
64,129,AL,0.3812653285763693,0.013559110222444389,24523.0,0.15021244688827792,4.7,0.526,14.146035194396973,44.17832946777344,27.260494232177734,14.415142059326172,58.32436466217041,41.675636291503906,7.0,-1255
65,131,AL,0.5755314895412651,0.006088132972555083,19041.0,0.26778121376111325,5.2,0.4717,20.722379684448242,40.4107666015625,27.209630966186523,11.65722370147705,61.13314628601074,38.866854667663574,10.0,-1297
66,133,AL,0.5841360979762539,0.013716300468676097,22024.0,0.17323816485359247,5.4,0.4541,21.560300827026367,38.704986572265625,26.458782196044922,13.275932312011719,60.26528739929199,39.73471450805664,4.0,-855
67,13,AK,0.9724794067478568,0.3883615352868345,31460.0,0.16962443252166737,11.299999999999999,0.3831,13.378684997558594,40.70294952392578,29.365079879760742,16.553287506103516,54.081634521484375,45.91836738586426,12.0,196
68,16,AK,0.9834657813622281,0.7325190839694656,43162.0,0.1251908396946565,11.1,0.329,8.19866943359375,42.514259338378906,32.2718620300293,17.015209197998047,50.712928771972656,49.287071228027344,11.0,73
69,20,AK,0.9976391323028968,0.12331740699459856,39063.0,0.09634915315006352,6.9,0.4201,6.007434368133545,23.727157592773438,33.68582534790039,36.57958221435547,29.734591960906982,70.26540756225586,2.0,-3826
70,50,AK,0.9964715006388105,0.022316319523918517,14993.0,0.28433279926756694,3.1,0.4582,16.543033599853516,48.663753509521484,23.463062286376953,11.33014965057373,65.206787109375,34.793211936950684,11.0,1373
71,60,AK,0.694843016702016,0.03896103896103896,43015.0,0.049062049062049064,12.9,0.3774,6.238859176635742,29.946523666381836,37.96791458129883,25.846702575683594,36.18538284301758,63.81461715698242,12.0,-161
72,68,AK,0.632026422109213,0.08695652173913043,25640.0,0.1491304347826087,31.5,0.3881,2.2508039474487305,30.171489715576172,28.456592559814453,39.12111282348633,32.4222936630249,67.57770538330078,7.0,271
73,70,AK,0.9431001384059579,0.033631332481907195,23157.0,0.1781609195402299,5.5,0.4063,13.473466873168945,40.14472961425781,26.98139190673828,19.400413513183594,53.61819648742676,46.381805419921875,12.0,69
74,90,AK,0.9765310493823063,0.05344823834084133,37073.0,0.06535222302017367,10.399999999999999,0.4122,5.548894882202148,24.079774856567383,38.043548583984375,32.327781677246094,29.62866973876953,70.37133026123047,2.0,-732
75,100,AK,0.4587053771814852,0.05620316402997502,33500.0,0.13197335553705244,4.699999999999999,0.4006,2.0444979667663574,34.215274810791016,36.079376220703125,27.66085433959961,36.25977277755737,63.740230560302734,12.0,22
76,105,AK,0.7144316277645654,0.04839506172839506,30000.0,0.09827160493827161,9.1,0.4432,6.020642280578613,36.41054916381836,37.958717346191406,19.610092163085938,42.43119144439697,57.568809509277344,10.0,-2
77,110,AK,0.9839753038886023,0.09226650190505613,43202.0,0.07410839940960423,6.9,0.3832,3.7643208503723145,21.54199981689453,35.904808044433594,38.78887176513672,25.306320667266846,74.69367980957031,8.0,699
78,122,AK,0.9774115358475282,0.03265899540788284,31615.0,0.1267530717540469,6.3,0.4419,7.013069152832031,31.26366424560547,35.9204216003418,25.802846908569336,38.2767333984375,61.72326850891113,11.0,3308
79,130,AK,0.900058452064117,0.09943729903536977,36494.0,0.09316720257234727,6.800000000000001,0.4275,6.119710922241211,30.701753616333008,37.71929931640625,25.45923614501953,36.82146453857422,63.17853546142578,8.0,424
80,150,AK,0.8763390710421061,0.2739172281039461,32014.0,0.09210779595765159,12.499999999999998,0.3773,10.435856819152832,27.128734588623047,32.64434814453125,29.791057586669922,37.56459140777588,62.43540573120117,11.0,-594
81,158,AK,0.9875283842252206,0.005824039653035936,12045.0,0.3738537794299876,1.7000000000000002,0.4256,21.428571701049805,54.20167922973633,21.107267379760742,3.262481451034546,75.63025093078613,24.369748830795288,12.0,855
82,164,AK,0.8947124022337789,0.0937799043062201,22043.0,0.1645933014354067,6.5,0.4048,11.83843994140625,35.65459442138672,29.38718605041504,23.11977767944336,47.49303436279297,52.5069637298584,12.0,-39
83,170,AK,0.9711448704214516,0.03513022410660206,30508.0,0.1037494382681073,7.800000000000001,0.4284,6.440944671630859,33.93414306640625,37.72512435913086,21.8997859954834,40.37508773803711,59.62491035461426,2.0,19322
84,180,AK,0.9486253323333501,0.03277479186426389,22015.0,0.21941195067973443,5.1,0.4322,13.990950584411621,43.29411697387695,25.75565528869629,16.95927619934082,57.285067558288574,42.71493148803711,11.0,512
85,185,AK,0.9984078442766089,0.07700397289086235,49266.0,0.09675157747137182,10.0,0.4011,11.281720161437988,41.03765869140625,32.5521240234375,15.128495216369629,52.31937885284424,47.68061923980713,11.0,402
86,188,AK,0.9602917735255676,0.014999330387036294,20581.0,0.23182000803535557,5.0,0.4363,15.478711128234863,46.90660858154297,22.582921981811523,15.031757354736328,62.38531970977783,37.61467933654785,11.0,98
87,195,AK,0.36679403727019627,0.2174896343761779,26401.0,0.05767056162834527,8.0,0.4224,10.793395042419434,33.668949127197266,30.0040283203125,25.533628463745117,44.4623441696167,55.53765678405762,11.0,-549
88,198,AK,0.9736015172875487,0.0313423039054808,24867.0,0.18510009845749917,5.3999999999999995,0.4275,8.725886344909668,38.13369369506836,35.93539810180664,17.20502471923828,46.85958003997803,53.14042282104492,10.0,644
89,220,AK,0.8770156106357058,0.10577673692427791,41174.0,0.07012750455373407,10.5,0.3935,4.754125118255615,25.30632209777832,35.71311950683594,34.22643280029297,30.060447216033936,69.9395523071289,11.0,-388
90,230,AK,0.4508107336792884,0.09691252144082332,36071.0,0.06260720411663807,13.100000000000001,0.3417,11.512845039367676,30.3520450592041,33.9676513671875,24.16745948791504,41.86489009857178,58.13511085510254,12.0,215
91,240,AK,0.8877571176825038,0.0874142606476312,26436.0,0.1073536449194449,11.8,0.4231,8.911535263061523,35.21249008178711,34.64874267578125,21.22723388671875,44.12402534484863,55.8759765625,12.0,-136
92,275,AK,0.9394408651497166,0.0310272536687631,30054.0,0.07421383647798742,5.2,0.3915,11.720830917358398,32.551944732666016,38.83857345581055,16.888652801513672,44.272775650024414,55.72722625732422,12.0,133
93,282,AK,0.6577269275868802,0.11299435028248588,31282.0,0.07532956685499058,10.2,0.3059,5.607476711273193,41.588783264160156,34.81308364868164,17.99065399169922,47.19625997543335,52.80373764038086,12.0,-83
94,290,AK,0.9321550660779173,0.01426059777300254,20271.0,0.23090447352998633,7.3,0.4749,12.007062911987305,42.083580017089844,32.66627502441406,13.243083953857422,54.09064292907715,45.909358978271484,12.0,-358
95,1,AZ,0.991669261165188,0.014174263424113395,21970.0,0.3426399565627411,3.3000000000000003,0.4941,18.547592163085938,31.21231460571289,37.731048583984375,12.509044647216797,49.75990676879883,50.24009323120117,6.0,369
96,3,AZ,0.8175422311740593,0.119128207883379,27362.0,0.1592077222013288,9.799999999999999,0.4353,11.3261137008667,23.97053337097168,39.15085220336914,25.552499771118164,35.29664707183838,64.7033519744873,2.0,-5424
