,STATE,CountyNo,year,Unemployment
30630,MN,111,2016,4.4
30631,MN,111,2017,4.0
30632,MN,111,2018,3.9
30633,MN,111,2019,4.4
30634,MN,111,2020,5.6
30635,MN,111,2021,3.4
30651,MN,113,2015,5.2
30652,MN,113,2016,5.8
30653,MN,113,2017,5.7
30654,MN,113,2018,4.5
30655,MN,113,2019,4.8
30656,MN,113,2020,6.4
30657,MN,113,2021,3.7
30673,MN,115,2015,5.7
30674,MN,115,2016,5.8
30675,MN,115,2017,5.8
30676,MN,115,2018,5.2
30677,MN,115,2019,5.8
30678,MN,115,2020,8.9
30679,MN,115,2021,5.0
30695,MN,117,2015,3.4
30696,MN,117,2016,3.8
30697,MN,117,2017,3.4
30698,MN,117,2018,3.1
30699,MN,117,2019,3.7
30700,MN,117,2020,4.2
30701,MN,117,2021,2.9
30717,MN,119,2015,4.3
30718,MN,119,2016,4.3
30719,MN,119,2017,4.2
30720,MN,119,2018,3.9
30721,MN,119,2019,4.2
30722,MN,119,2020,5.8
30723,MN,119,2021,3.8
30739,MN,121,2015,3.5
30740,MN,121,2016,3.6
30741,MN,121,2017,3.1
30742,MN,121,2018,2.8
30743,MN,121,2019,3.3
30744,MN,121,2020,4.6
30745,MN,121,2021,2.8
30761,MN,123,2015,3.6
30762,MN,123,2016,3.6
30763,MN,123,2017,3.3
30764,MN,123,2018,2.9
30765,MN,123,2019,3.2
30766,MN,123,2020,7.1
30767,MN,123,2021,3.8
30783,MN,125,2015,6.0
30784,MN,125,2016,7.3
30785,MN,125,2017,6.7
30786,MN,125,2018,5.5
30787,MN,125,2019,5.6
30788,MN,125,2020,6.7
30789,MN,125,2021,4.0
30805,MN,127,2015,4.0
30806,MN,127,2016,4.1
30807,MN,127,2017,4.1
30808,MN,127,2018,3.8
30809,MN,127,2019,3.9
30810,MN,127,2020,5.7
30811,MN,127,2021,3.4
30827,MN,129,2015,4.9
30828,MN,129,2016,5.3
30829,MN,129,2017,4.5
30830,MN,129,2018,4.2
30831,MN,129,2019,4.8
30832,MN,129,2020,5.9
30833,MN,129,2021,3.9
30849,MN,131,2015,3.6
30850,MN,131,2016,3.5
30851,MN,131,2017,3.2
30852,MN,131,2018,3.0
30853,MN,131,2019,3.3
30854,MN,131,2020,5.4
30855,MN,131,2021,3.2
30871,MN,133,2015,2.2
30872,MN,133,2016,2.3
30873,MN,133,2017,2.1
30874,MN,133,2018,2.5
30875,MN,133,2019,2.4
30876,MN,133,2020,3.2
30877,MN,133,2021,1.9
30893,MN,135,2015,4.1
30894,MN,135,2016,5.1
30895,MN,135,2017,4.9
30896,MN,135,2018,3.6
30897,MN,135,2019,4.1
30898,MN,135,2020,5.9
30899,MN,135,2021,2.9
30915,MN,137,2015,5.1
30916,MN,137,2016,5.7
30917,MN,137,2017,4.7
30918,MN,137,2018,4.0
30919,MN,137,2019,4.3
30920,MN,137,2020,7.4
30921,MN,137,2021,3.8
30937,MN,139,2015,3.2
30938,MN,139,2016,3.2
30939,MN,139,2017,2.9
30940,MN,139,2018,2.7
30941,MN,139,2019,2.9
30942,MN,139,2020,6.0
30943,MN,139,2021,3.0
30959,MN,141,2015,4.1
30960,MN,141,2016,4.1
30961,MN,141,2017,3.8
30962,MN,141,2018,3.4
30963,MN,141,2019,3.7
30964,MN,141,2020,6.2
30965,MN,141,2021,3.5
30981,MN,143,2015,4.2
30982,MN,143,2016,4.3
30983,MN,143,2017,3.6
30984,MN,143,2018,3.4
30985,MN,143,2019,4.1
30986,MN,143,2020,5.8
30987,MN,143,2021,3.6
31003,MN,145,2015,3.7
31004,MN,145,2016,3.8
31005,MN,145,2017,3.4
31006,MN,145,2018,3.2
31007,MN,145,2019,3.4
31008,MN,145,2020,5.9
31009,MN,145,2021,3.6
31025,MN,147,2015,3.4
31026,MN,147,2016,3.6
31027,MN,147,2017,3.4
31028,MN,147,2018,3.2
31029,MN,147,2019,3.4
31030,MN,147,2020,5.6
31031,MN,147,2021,3.3
31047,MN,149,2015,2.9
31048,MN,149,2016,3.0
31049,MN,149,2017,2.7
31050,MN,149,2018,2.5
31051,MN,149,2019,2.9
31052,MN,149,2020,3.3
31053,MN,149,2021,2.4
31069,MN,151,2015,6.2
31070,MN,151,2016,5.4
31071,MN,151,2017,4.1
31072,MN,151,2018,3.9
31073,MN,151,2019,4.6
31074,MN,151,2020,6.0
31075,MN,151,2021,3.7
31091,MN,153,2015,4.5
31092,MN,153,2016,4.7
31093,MN,153,2017,4.0
31094,MN,153,2018,4.2
31095,MN,153,2019,4.7
31096,MN,153,2020,5.5
31097,MN,153,2021,3.7
31113,MN,155,2015,4.2
31114,MN,155,2016,3.9
31115,MN,155,2017,3.6
31116,MN,155,2018,3.5
31117,MN,155,2019,3.9
31118,MN,155,2020,4.6
31119,MN,155,2021,3.1
31135,MN,157,2015,3.9
31136,MN,157,2016,3.7
31137,MN,157,2017,3.4
31138,MN,157,2018,3.2
31139,MN,157,2019,3.6
31140,MN,157,2020,5.5
31141,MN,157,2021,3.0
31157,MN,159,2015,6.0
31158,MN,159,2016,5.9
31159,MN,159,2017,5.6
31160,MN,159,2018,5.6
31161,MN,159,2019,6.6
31162,MN,159,2020,8.0
31163,MN,159,2021,4.5
31179,MN,161,2015,4.2
31180,MN,161,2016,4.3
31181,MN,161,2017,3.9
31182,MN,161,2018,4.3
31183,MN,161,2019,4.1
31184,MN,161,2020,6.4
31185,MN,161,2021,3.9
31201,MN,163,2015,3.2
31202,MN,163,2016,3.3
31203,MN,163,2017,3.0
31204,MN,163,2018,2.7
31205,MN,163,2019,3.0
31206,MN,163,2020,5.7
31207,MN,163,2021,2.9
31223,MN,165,2015,4.8
31224,MN,165,2016,4.9
31225,MN,165,2017,4.4
31226,MN,165,2018,3.7
31227,MN,165,2019,4.3
31228,MN,165,2020,4.8
31229,MN,165,2021,3.0
31245,MN,167,2015,3.4
31246,MN,167,2016,3.3
31247,MN,167,2017,3.1
31248,MN,167,2018,3.2
31249,MN,167,2019,3.6
31250,MN,167,2020,4.2
31251,MN,167,2021,2.8
31267,MN,169,2015,3.4
31268,MN,169,2016,3.5
31269,MN,169,2017,3.1
31270,MN,169,2018,2.8
31271,MN,169,2019,3.1
31272,MN,169,2020,5.1
31273,MN,169,2021,2.9
31289,MN,171,2015,3.8
31290,MN,171,2016,3.9
31291,MN,171,2017,3.6
31292,MN,171,2018,3.2
31293,MN,171,2019,3.4
31294,MN,171,2020,5.7
31295,MN,171,2021,3.1
31311,MN,173,2015,3.8
31312,MN,173,2016,3.8
31313,MN,173,2017,3.5
31314,MN,173,2018,3.2
31315,MN,173,2019,4.0
31316,MN,173,2020,4.7
31317,MN,173,2021,3.0
31355,MS,1,2015,8.1
31356,MS,1,2016,8.4
31357,MS,1,2017,7.5
31358,MS,1,2018,6.5
31359,MS,1,2019,7.1
31360,MS,1,2020,10.7
31361,MS,1,2021,8.2
31377,MS,3,2015,5.7
31378,MS,3,2016,5.3
31379,MS,3,2017,4.5
31380,MS,3,2018,4.3
31381,MS,3,2019,4.7
31382,MS,3,2020,6.1
31383,MS,3,2021,4.8
31399,MS,5,2015,7.7
31400,MS,5,2016,7.5
31401,MS,5,2017,7.0
31402,MS,5,2018,6.3
31403,MS,5,2019,7.0
31404,MS,5,2020,8.2
31405,MS,5,2021,7.3
31421,MS,7,2015,7.7
31422,MS,7,2016,6.8
31423,MS,7,2017,6.2
31424,MS,7,2018,5.8
31425,MS,7,2019,6.3
31426,MS,7,2020,8.2
31427,MS,7,2021,6.0
31443,MS,9,2015,8.1
31444,MS,9,2016,6.9
31445,MS,9,2017,5.7
31446,MS,9,2018,5.7
31447,MS,9,2019,6.2
31448,MS,9,2020,8.1
31449,MS,9,2021,6.4
31465,MS,11,2015,8.0
31466,MS,11,2016,7.4
31467,MS,11,2017,6.6
31468,MS,11,2018,6.3
31469,MS,11,2019,7.1
31470,MS,11,2020,8.5
31471,MS,11,2021,6.9
31487,MS,13,2015,6.3
31488,MS,13,2016,5.5
31489,MS,13,2017,4.8
31490,MS,13,2018,4.8
31491,MS,13,2019,5.6
31492,MS,13,2020,7.9
31493,MS,13,2021,5.2
31509,MS,15,2015,8.3
31510,MS,15,2016,7.4
31511,MS,15,2017,6.0
31512,MS,15,2018,5.8
31513,MS,15,2019,6.2
31514,MS,15,2020,7.6
31515,MS,15,2021,5.8
31531,MS,17,2015,7.8
31532,MS,17,2016,6.7
31533,MS,17,2017,5.4
31534,MS,17,2018,5.1
31535,MS,17,2019,5.7
31536,MS,17,2020,10.6
31537,MS,17,2021,6.3
31553,MS,19,2015,6.4
31554,MS,19,2016,5.8
31555,MS,19,2017,5.1
31556,MS,19,2018,5.0
31557,MS,19,2019,5.6
31558,MS,19,2020,6.2
31559,MS,19,2021,4.8
31575,MS,21,2015,12.7
31576,MS,21,2016,11.6
31577,MS,21,2017,10.0
31578,MS,21,2018,9.4
31579,MS,21,2019,10.6
31580,MS,21,2020,14.1
31581,MS,21,2021,11.7
31597,MS,23,2015,8.0
31598,MS,23,2016,6.9
31599,MS,23,2017,6.2
31600,MS,23,2018,5.7
31601,MS,23,2019,6.2
31602,MS,23,2020,8.3
31603,MS,23,2021,6.3
31619,MS,25,2015,9.7
31620,MS,25,2016,8.3
31621,MS,25,2017,7.0
31622,MS,25,2018,6.2
31623,MS,25,2019,7.5
31624,MS,25,2020,11.4
31625,MS,25,2021,7.2
31641,MS,27,2015,10.2
31642,MS,27,2016,8.9
31643,MS,27,2017,7.6
31644,MS,27,2018,7.2
31645,MS,27,2019,7.7
31646,MS,27,2020,12.2
31647,MS,27,2021,8.8
31663,MS,29,2015,7.3
31664,MS,29,2016,6.7
31665,MS,29,2017,5.9
31666,MS,29,2018,5.7
31667,MS,29,2019,6.6
31668,MS,29,2020,8.1
31669,MS,29,2021,6.5
31685,MS,31,2015,5.9
31686,MS,31,2016,5.5
31687,MS,31,2017,5.0
31688,MS,31,2018,4.6
31689,MS,31,2019,4.8
31690,MS,31,2020,6.7
31691,MS,31,2021,5.1
31707,MS,33,2015,4.9
31708,MS,33,2016,4.3
31709,MS,33,2017,3.9
31710,MS,33,2018,3.9
31711,MS,33,2019,4.4
31712,MS,33,2020,5.9
31713,MS,33,2021,4.4
31729,MS,35,2015,6.4
31730,MS,35,2016,5.8
31731,MS,35,2017,5.0
31732,MS,35,2018,4.6
31733,MS,35,2019,5.2
31734,MS,35,2020,7.9
31735,MS,35,2021,5.7
31751,MS,37,2015,7.8
31752,MS,37,2016,7.3
31753,MS,37,2017,7.0
31754,MS,37,2018,6.1
31755,MS,37,2019,6.9
31756,MS,37,2020,8.1
31757,MS,37,2021,6.8
31773,MS,39,2015,7.6
31774,MS,39,2016,7.6
31775,MS,39,2017,7.3
31776,MS,39,2018,6.7
31777,MS,39,2019,7.4
31778,MS,39,2020,8.9
31779,MS,39,2021,7.0
31795,MS,41,2015,7.6
31796,MS,41,2016,7.4
31797,MS,41,2017,7.7
31798,MS,41,2018,6.4
31799,MS,41,2019,7.9
31800,MS,41,2020,9.5
31801,MS,41,2021,7.6
31817,MS,43,2015,6.0
31818,MS,43,2016,5.2
31819,MS,43,2017,4.7
31820,MS,43,2018,4.4
31821,MS,43,2019,5.0
31822,MS,43,2020,7.0
31823,MS,43,2021,5.0
31839,MS,45,2015,6.6
31840,MS,45,2016,6.2
31841,MS,45,2017,5.7
31842,MS,45,2018,5.2
31843,MS,45,2019,5.7
31844,MS,45,2020,8.2
31845,MS,45,2021,5.8
31861,MS,47,2015,6.0
31862,MS,47,2016,5.6
31863,MS,47,2017,5.0
31864,MS,47,2018,4.7
31865,MS,47,2019,5.2
31866,MS,47,2020,9.2
31867,MS,47,2021,5.5
31883,MS,49,2015,6.1
31884,MS,49,2016,5.6
31885,MS,49,2017,5.0
31886,MS,49,2018,4.8
31887,MS,49,2019,5.3
31888,MS,49,2020,9.2
31889,MS,49,2021,6.2
31905,MS,51,2015,12.2
31906,MS,51,2016,11.2
31907,MS,51,2017,9.6
31908,MS,51,2018,9.2
31909,MS,51,2019,10.2
31910,MS,51,2020,15.9
31911,MS,51,2021,11.0
31927,MS,53,2015,12.8
31928,MS,53,2016,11.6
31929,MS,53,2017,9.7
31930,MS,53,2018,9.0
31931,MS,53,2019,10.2
31932,MS,53,2020,14.4
31933,MS,53,2021,12.7
31949,MS,55,2015,17.2
31950,MS,55,2016,14.3
31951,MS,55,2017,12.2
31952,MS,55,2018,9.2
31953,MS,55,2019,11.9
31954,MS,55,2020,8.6
31955,MS,55,2021,9.3
31971,MS,57,2015,5.8
31972,MS,57,2016,5.2
31973,MS,57,2017,4.3
31974,MS,57,2018,4.2
31975,MS,57,2019,4.7
31976,MS,57,2020,6.8
31977,MS,57,2021,4.3
31993,MS,59,2015,7.1
31994,MS,59,2016,6.7
31995,MS,59,2017,6.1
31996,MS,59,2018,5.8
31997,MS,59,2019,6.1
31998,MS,59,2020,9.3
31999,MS,59,2021,6.0
32015,MS,61,2015,7.9
32016,MS,61,2016,7.8
32017,MS,61,2017,6.7
32018,MS,61,2018,6.1
32019,MS,61,2019,6.8
32020,MS,61,2020,8.8
32021,MS,61,2021,7.3
32037,MS,63,2015,15.1
32038,MS,63,2016,15.2
32039,MS,63,2017,15.0
32040,MS,63,2018,13.4
32041,MS,63,2019,15.7
32042,MS,63,2020,18.0
32043,MS,63,2021,16.6
32059,MS,65,2015,8.8
32060,MS,65,2016,8.4
32061,MS,65,2017,7.0
32062,MS,65,2018,6.9
32063,MS,65,2019,6.9
32064,MS,65,2020,9.4
32065,MS,65,2021,7.7
32081,MS,67,2015,6.1
32082,MS,67,2016,6.3
32083,MS,67,2017,5.3
32084,MS,67,2018,5.0
32085,MS,67,2019,5.3
32086,MS,67,2020,6.9
32087,MS,67,2021,5.7
32103,MS,69,2015,10.5
32104,MS,69,2016,8.9
32105,MS,69,2017,8.0
32106,MS,69,2018,7.6
32107,MS,69,2019,7.8
32108,MS,69,2020,9.4
32109,MS,69,2021,7.4
32125,MS,71,2015,5.5
32126,MS,71,2016,5.0
32127,MS,71,2017,4.3
32128,MS,71,2018,4.0
32129,MS,71,2019,4.4
32130,MS,71,2020,5.9
32131,MS,71,2021,4.1
32147,MS,73,2015,4.9
32148,MS,73,2016,4.6
32149,MS,73,2017,3.9
32150,MS,73,2018,3.8
32151,MS,73,2019,4.3
32152,MS,73,2020,5.9
32153,MS,73,2021,4.1
32169,MS,75,2015,6.6
32170,MS,75,2016,6.0
32171,MS,75,2017,5.5
32172,MS,75,2018,5.1
32173,MS,75,2019,5.5
32174,MS,75,2020,7.4
32175,MS,75,2021,5.4
32191,MS,77,2015,7.3
32192,MS,77,2016,7.3
32193,MS,77,2017,6.7
32194,MS,77,2018,6.1
32195,MS,77,2019,6.9
32196,MS,77,2020,8.5
32197,MS,77,2021,6.9
32213,MS,79,2015,6.2
32214,MS,79,2016,6.2
32215,MS,79,2017,5.9
32216,MS,79,2018,5.2
32217,MS,79,2019,5.6
32218,MS,79,2020,7.7
32219,MS,79,2021,5.6
32235,MS,81,2015,5.6
32236,MS,81,2016,5.0
32237,MS,81,2017,4.1
32238,MS,81,2018,4.0
32239,MS,81,2019,4.4
32240,MS,81,2020,8.0
32241,MS,81,2021,4.6
32257,MS,83,2015,10.9
32258,MS,83,2016,9.3
32259,MS,83,2017,7.6
32260,MS,83,2018,7.1
32261,MS,83,2019,7.6
32262,MS,83,2020,10.4
32263,MS,83,2021,8.1
32279,MS,85,2015,6.1
32280,MS,85,2016,5.8
32281,MS,85,2017,5.3
32282,MS,85,2018,4.8
32283,MS,85,2019,5.6
32284,MS,85,2020,7.2
32285,MS,85,2021,5.0
32301,MS,87,2015,7.1
32302,MS,87,2016,6.3
32303,MS,87,2017,5.5
32304,MS,87,2018,5.0
32305,MS,87,2019,5.3
32306,MS,87,2020,8.2
32307,MS,87,2021,5.9
32323,MS,89,2015,4.6
32324,MS,89,2016,4.4
32325,MS,89,2017,4.0
32326,MS,89,2018,3.8
32327,MS,89,2019,4.4
32328,MS,89,2020,6.4
32329,MS,89,2021,4.3
32345,MS,91,2015,7.4
32346,MS,91,2016,6.7
32347,MS,91,2017,5.6
32348,MS,91,2018,5.3
32349,MS,91,2019,5.5
32350,MS,91,2020,7.0
32351,MS,91,2021,5.3
32367,MS,93,2015,7.3
32368,MS,93,2016,6.2
32369,MS,93,2017,5.3
32370,MS,93,2018,5.1
32371,MS,93,2019,5.8
32372,MS,93,2020,7.4
32373,MS,93,2021,5.8
32389,MS,95,2015,7.5
32390,MS,95,2016,6.4
32391,MS,95,2017,5.3
32392,MS,95,2018,5.0
32393,MS,95,2019,5.4
32394,MS,95,2020,8.7
32395,MS,95,2021,5.2
32411,MS,97,2015,7.9
32412,MS,97,2016,6.5
32413,MS,97,2017,5.2
32414,MS,97,2018,5.5
32415,MS,97,2019,6.0
32416,MS,97,2020,7.9
32417,MS,97,2021,6.1
32433,MS,99,2015,6.2
32434,MS,99,2016,5.9
32435,MS,99,2017,5.3
32436,MS,99,2018,5.2
32437,MS,99,2019,5.9
32438,MS,99,2020,9.1
32439,MS,99,2021,5.6
32455,MS,101,2015,6.2
32456,MS,101,2016,6.0
32457,MS,101,2017,5.2
32458,MS,101,2018,4.9
32459,MS,101,2019,5.7
32460,MS,101,2020,7.8
32461,MS,101,2021,5.4
32477,MS,103,2015,9.9
32478,MS,103,2016,8.4
32479,MS,103,2017,7.5
32480,MS,103,2018,6.9
32481,MS,103,2019,7.3
32482,MS,103,2020,10.9
32483,MS,103,2021,8.9
32499,MS,105,2015,6.2
32500,MS,105,2016,5.5
32501,MS,105,2017,5.1
32502,MS,105,2018,4.9
32503,MS,105,2019,5.6
32504,MS,105,2020,7.5
32505,MS,105,2021,5.5
32521,MS,107,2015,8.8
32522,MS,107,2016,7.5
32523,MS,107,2017,6.9
32524,MS,107,2018,6.2
32525,MS,107,2019,6.6
32526,MS,107,2020,9.6
32527,MS,107,2021,7.1
32543,MS,109,2015,6.2
32544,MS,109,2016,6.1
32545,MS,109,2017,5.4
32546,MS,109,2018,4.9
32547,MS,109,2019,5.3
32548,MS,109,2020,7.1
32549,MS,109,2021,5.6
32565,MS,111,2015,8.1
32566,MS,111,2016,7.3
32567,MS,111,2017,6.5
32568,MS,111,2018,6.1
32569,MS,111,2019,6.8
32570,MS,111,2020,8.6
32571,MS,111,2021,6.5
32587,MS,113,2015,7.4
32588,MS,113,2016,6.9
32589,MS,113,2017,6.2
32590,MS,113,2018,6.0
32591,MS,113,2019,6.6
32592,MS,113,2020,8.8
32593,MS,113,2021,7.1
32609,MS,115,2015,5.6
32610,MS,115,2016,4.8
32611,MS,115,2017,4.0
32612,MS,115,2018,4.0
32613,MS,115,2019,4.4
32614,MS,115,2020,7.5
32615,MS,115,2021,4.4
32631,MS,117,2015,6.1
32632,MS,117,2016,5.6
32633,MS,117,2017,4.7
32634,MS,117,2018,4.4
32635,MS,117,2019,4.9
32636,MS,117,2020,6.8
32637,MS,117,2021,4.4
32653,MS,119,2015,10.9
32654,MS,119,2016,9.9
32655,MS,119,2017,9.2
32656,MS,119,2018,7.9
32657,MS,119,2019,8.2
32658,MS,119,2020,10.6
32659,MS,119,2021,8.5
32675,MS,121,2015,4.2
32676,MS,121,2016,4.0
32677,MS,121,2017,3.7
32678,MS,121,2018,3.6
32679,MS,121,2019,4.0
32680,MS,121,2020,5.2
32681,MS,121,2021,3.6
32697,MS,123,2015,4.9
32698,MS,123,2016,4.7
32699,MS,123,2017,4.2
32700,MS,123,2018,4.1
32701,MS,123,2019,4.5
32702,MS,123,2020,5.8
32703,MS,123,2021,4.7
32719,MS,125,2015,9.8
32720,MS,125,2016,9.0
32721,MS,125,2017,8.2
32722,MS,125,2018,7.5
32723,MS,125,2019,9.1
32724,MS,125,2020,10.7
32725,MS,125,2021,9.4
32741,MS,127,2015,6.0
32742,MS,127,2016,5.6
32743,MS,127,2017,5.0
32744,MS,127,2018,4.7
32745,MS,127,2019,5.2
32746,MS,127,2020,6.7
32747,MS,127,2021,5.2
32763,MS,129,2015,5.4
32764,MS,129,2016,5.4
32765,MS,129,2017,4.9
32766,MS,129,2018,4.6
32767,MS,129,2019,5.2
32768,MS,129,2020,5.7
32769,MS,129,2021,4.5
32785,MS,131,2015,7.5
32786,MS,131,2016,6.9
32787,MS,131,2017,6.3
32788,MS,131,2018,6.0
32789,MS,131,2019,6.1
32790,MS,131,2020,7.4
32791,MS,131,2021,5.4
32807,MS,133,2015,10.6
32808,MS,133,2016,9.5
32809,MS,133,2017,8.5
32810,MS,133,2018,8.0
32811,MS,133,2019,9.1
32812,MS,133,2020,10.9
32813,MS,133,2021,9.1
32829,MS,135,2015,7.6
32830,MS,135,2016,6.9
32831,MS,135,2017,5.5
32832,MS,135,2018,5.5
32833,MS,135,2019,5.7
32834,MS,135,2020,7.3
32835,MS,135,2021,6.1
32851,MS,137,2015,7.2
32852,MS,137,2016,6.0
32853,MS,137,2017,5.2
32854,MS,137,2018,5.1
32855,MS,137,2019,5.6
32856,MS,137,2020,7.5
32857,MS,137,2021,5.6
32873,MS,139,2015,6.4
32874,MS,139,2016,5.7
32875,MS,139,2017,4.6
32876,MS,139,2018,4.5
32877,MS,139,2019,5.1
32878,MS,139,2020,6.9
32879,MS,139,2021,4.6
32895,MS,141,2015,6.4
32896,MS,141,2016,5.6
32897,MS,141,2017,5.1
32898,MS,141,2018,4.7
32899,MS,141,2019,5.1
32900,MS,141,2020,6.5
32901,MS,141,2021,4.6
32917,MS,143,2015,9.4
32918,MS,143,2016,7.3
32919,MS,143,2017,6.1
32920,MS,143,2018,5.5
32921,MS,143,2019,6.3
32922,MS,143,2020,14.8
32923,MS,143,2021,8.9
32939,MS,145,2015,5.2
32940,MS,145,2016,4.5
32941,MS,145,2017,3.7
32942,MS,145,2018,3.6
32943,MS,145,2019,4.2
32944,MS,145,2020,7.0
32945,MS,145,2021,4.1
32961,MS,147,2015,8.2
32962,MS,147,2016,7.9
32963,MS,147,2017,6.9
32964,MS,147,2018,6.6
32965,MS,147,2019,7.3
32966,MS,147,2020,8.3
32967,MS,147,2021,6.9
32983,MS,149,2015,6.7
32984,MS,149,2016,6.5
32985,MS,149,2017,5.8
32986,MS,149,2018,5.6
32987,MS,149,2019,6.0
32988,MS,149,2020,8.5
32989,MS,149,2021,6.2
33005,MS,151,2015,10.4
33006,MS,151,2016,9.2
33007,MS,151,2017,7.3
33008,MS,151,2018,6.9
33009,MS,151,2019,7.9
33010,MS,151,2020,10.6
33011,MS,151,2021,8.2
33027,MS,153,2015,8.0
33028,MS,153,2016,7.5
33029,MS,153,2017,6.5
33030,MS,153,2018,5.6
33031,MS,153,2019,6.1
33032,MS,153,2020,8.5
33033,MS,153,2021,6.7
33049,MS,155,2015,7.3
33050,MS,155,2016,6.4
33051,MS,155,2017,5.4
33052,MS,155,2018,5.1
33053,MS,155,2019,5.7
33054,MS,155,2020,7.2
33055,MS,155,2021,5.4
33071,MS,157,2015,10.7
33072,MS,157,2016,10.4
33073,MS,157,2017,9.1
33074,MS,157,2018,8.8
33075,MS,157,2019,10.2
33076,MS,157,2020,12.8
33077,MS,157,2021,11.1
33093,MS,159,2015,8.4
33094,MS,159,2016,7.2
33095,MS,159,2017,6.2
33096,MS,159,2018,5.8
33097,MS,159,2019,6.1
33098,MS,159,2020,8.5
33099,MS,159,2021,6.2
33115,MS,161,2015,7.2
33116,MS,161,2016,6.4
33117,MS,161,2017,5.6
33118,MS,161,2018,5.1
33119,MS,161,2019,5.7
33120,MS,161,2020,7.7
33121,MS,161,2021,5.5
33137,MS,163,2015,8.3
33138,MS,163,2016,7.5
33139,MS,163,2017,6.3
33140,MS,163,2018,5.7
33141,MS,163,2019,6.3
33142,MS,163,2020,10.0
33143,MS,163,2021,7.3
33181,MO,1,2015,5.7
33182,MO,1,2016,5.7
33183,MO,1,2017,4.2
33184,MO,1,2018,3.5
33185,MO,1,2019,3.7
33186,MO,1,2020,5.1
33187,MO,1,2021,4.3
33203,MO,3,2015,4.2
33204,MO,3,2016,3.7
33205,MO,3,2017,3.2
33206,MO,3,2018,2.6
33207,MO,3,2019,2.6
33208,MO,3,2020,4.0
33209,MO,3,2021,3.0
33225,MO,5,2015,4.5
33226,MO,5,2016,4.5
33227,MO,5,2017,3.5
33228,MO,5,2018,2.4
33229,MO,5,2019,3.5
33230,MO,5,2020,4.0
33231,MO,5,2021,3.2
33247,MO,7,2015,4.7
33248,MO,7,2016,4.2
33249,MO,7,2017,3.5
33250,MO,7,2018,3.0
33251,MO,7,2019,3.2
33252,MO,7,2020,5.8
33253,MO,7,2021,3.7
33269,MO,9,2015,5.1
33270,MO,9,2016,4.5
33271,MO,9,2017,3.3
33272,MO,9,2018,2.9
33273,MO,9,2019,3.3
33274,MO,9,2020,6.5
33275,MO,9,2021,4.6
33291,MO,11,2015,5.5
33292,MO,11,2016,5.2
33293,MO,11,2017,4.1
33294,MO,11,2018,3.0
33295,MO,11,2019,3.2
33296,MO,11,2020,4.9
33297,MO,11,2021,3.4
33313,MO,13,2015,6.2
33314,MO,13,2016,5.3
33315,MO,13,2017,4.4
33316,MO,13,2018,3.8
33317,MO,13,2019,3.9
33318,MO,13,2020,5.3
33319,MO,13,2021,4.3
33335,MO,15,2015,6.7
33336,MO,15,2016,6.1
33337,MO,15,2017,5.1
33338,MO,15,2018,4.5
33339,MO,15,2019,4.6
33340,MO,15,2020,7.3
33341,MO,15,2021,5.7
33357,MO,17,2015,5.7
33358,MO,17,2016,5.2
33359,MO,17,2017,4.4
33360,MO,17,2018,3.6
33361,MO,17,2019,3.7
33362,MO,17,2020,5.6
33363,MO,17,2021,4.2
33379,MO,19,2015,3.6
33380,MO,19,2016,3.3
33381,MO,19,2017,2.6
33382,MO,19,2018,2.2
33383,MO,19,2019,2.3
33384,MO,19,2020,4.2
33385,MO,19,2021,3.0
33401,MO,21,2015,4.7
33402,MO,21,2016,4.1
33403,MO,21,2017,3.5
33404,MO,21,2018,2.9
33405,MO,21,2019,2.9
33406,MO,21,2020,4.9
33407,MO,21,2021,3.8
33423,MO,23,2015,6.3
33424,MO,23,2016,5.7
33425,MO,23,2017,4.5
33426,MO,23,2018,4.5
33427,MO,23,2019,4.4
33428,MO,23,2020,6.2
33429,MO,23,2021,4.7
33445,MO,25,2015,4.6
33446,MO,25,2016,4.7
33447,MO,25,2017,4.0
33448,MO,25,2018,3.1
33449,MO,25,2019,3.0
33450,MO,25,2020,5.3
33451,MO,25,2021,5.1
33467,MO,27,2015,4.8
33468,MO,27,2016,4.1
33469,MO,27,2017,3.5
33470,MO,27,2018,2.9
33471,MO,27,2019,2.7
33472,MO,27,2020,4.4
33473,MO,27,2021,3.4
33489,MO,29,2015,6.7
33490,MO,29,2016,5.8
33491,MO,29,2017,4.8
33492,MO,29,2018,4.2
33493,MO,29,2019,4.3
33494,MO,29,2020,6.9
33495,MO,29,2021,5.0
33511,MO,31,2015,4.4
33512,MO,31,2016,4.3
33513,MO,31,2017,3.5
33514,MO,31,2018,2.7
33515,MO,31,2019,2.8
33516,MO,31,2020,5.1
33517,MO,31,2021,3.6
33533,MO,33,2015,6.2
33534,MO,33,2016,5.4
33535,MO,33,2017,4.0
33536,MO,33,2018,3.1
33537,MO,33,2019,3.1
33538,MO,33,2020,5.5
33539,MO,33,2021,4.4
33555,MO,35,2015,7.6
33556,MO,35,2016,7.1
33557,MO,35,2017,5.8
33558,MO,35,2018,5.0
33559,MO,35,2019,4.7
33560,MO,35,2020,6.5
33561,MO,35,2021,5.2
33577,MO,37,2015,4.9
33578,MO,37,2016,4.1
33579,MO,37,2017,3.5
33580,MO,37,2018,3.0
33581,MO,37,2019,2.9
33582,MO,37,2020,5.3
33583,MO,37,2021,3.9
33599,MO,39,2015,5.4
33600,MO,39,2016,5.0
