,STATE,CountyNo,year,Unemployment
1741,AK,100,2021,11.3
1747,AK,105,2015,14.7
1748,AK,105,2016,11.3
1749,AK,105,2017,11.5
1750,AK,105,2018,11.5
1751,AK,105,2019,10.2
1752,AK,105,2020,13.9
1753,AK,105,2021,9.3
1769,AK,110,2015,4.6
1770,AK,110,2016,4.3
1771,AK,110,2017,4.3
1772,AK,110,2018,4.0
1773,AK,110,2019,4.0
1774,AK,110,2020,7.0
1775,AK,110,2021,4.7
1791,AK,122,2015,7.6
1792,AK,122,2016,8.2
1793,AK,122,2017,7.7
1794,AK,122,2018,7.0
1795,AK,122,2019,6.1
1796,AK,122,2020,9.5
1797,AK,122,2021,7.3
1813,AK,130,2015,6.7
1814,AK,130,2016,6.2
1815,AK,130,2017,5.8
1816,AK,130,2018,5.5
1817,AK,130,2019,5.6
1818,AK,130,2020,10.2
1819,AK,130,2021,7.4
1835,AK,150,2015,4.7
1836,AK,150,2016,4.9
1837,AK,150,2017,4.7
1838,AK,150,2018,5.4
1839,AK,150,2019,5.0
1840,AK,150,2020,6.6
1841,AK,150,2021,6.4
1857,AK,158,2015,22.5
1858,AK,158,2016,20.8
1859,AK,158,2017,18.6
1860,AK,158,2018,18.3
1861,AK,158,2019,17.8
1862,AK,158,2020,20.6
1863,AK,158,2021,19.9
1879,AK,164,2015,12.1
1880,AK,164,2016,11.9
1881,AK,164,2017,11.0
1882,AK,164,2018,10.2
1883,AK,164,2019,9.0
1884,AK,164,2020,11.4
1885,AK,164,2021,8.9
1901,AK,170,2015,7.4
1902,AK,170,2016,7.9
1903,AK,170,2017,7.7
1904,AK,170,2018,6.9
1905,AK,170,2019,6.2
1906,AK,170,2020,8.7
1907,AK,170,2021,6.8
1923,AK,180,2015,11.5
1924,AK,180,2016,12.2
1925,AK,180,2017,11.4
1926,AK,180,2018,10.5
1927,AK,180,2019,9.9
1928,AK,180,2020,10.9
1929,AK,180,2021,9.7
1945,AK,185,2015,5.5
1946,AK,185,2016,6.5
1947,AK,185,2017,6.9
1948,AK,185,2018,6.3
1949,AK,185,2019,5.7
1950,AK,185,2020,6.1
1951,AK,185,2021,6.3
1967,AK,188,2015,15.5
1968,AK,188,2016,15.4
1969,AK,188,2017,15.2
1970,AK,188,2018,12.7
1971,AK,188,2019,12.8
1972,AK,188,2020,12.6
1973,AK,188,2021,11.5
1979,AK,195,2015,8.7
1980,AK,195,2016,8.6
1981,AK,195,2017,8.6
1982,AK,195,2018,7.9
1983,AK,195,2019,7.9
1984,AK,195,2020,9.0
1985,AK,195,2021,7.0
1991,AK,198,2015,12.2
1992,AK,198,2016,11.7
1993,AK,198,2017,10.4
1994,AK,198,2018,9.8
1995,AK,198,2019,9.1
1996,AK,198,2020,9.7
1997,AK,198,2021,8.0
2023,AK,220,2015,4.4
2024,AK,220,2016,4.4
2025,AK,220,2017,4.2
2026,AK,220,2018,3.8
2027,AK,220,2019,3.7
2028,AK,220,2020,7.3
2029,AK,220,2021,4.5
2035,AK,230,2015,11.1
2036,AK,230,2016,10.7
2037,AK,230,2017,9.7
2038,AK,230,2018,8.8
2039,AK,230,2019,9.0
2040,AK,230,2020,21.5
2041,AK,230,2021,14.2
2067,AK,240,2015,10.3
2068,AK,240,2016,10.3
2069,AK,240,2017,9.6
2070,AK,240,2018,8.8
2071,AK,240,2019,8.0
2072,AK,240,2020,7.7
2073,AK,240,2021,6.6
2089,AK,261,2015,8.4
2090,AK,261,2016,8.2
2091,AK,261,2017,7.2
2092,AK,261,2018,6.7
2093,AK,261,2019,6.8
2099,AK,275,2015,7.6
2100,AK,275,2016,7.2
2101,AK,275,2017,7.2
2102,AK,275,2018,6.3
2103,AK,275,2019,6.8
2104,AK,275,2020,9.2
2105,AK,275,2021,7.5
2131,AK,282,2015,8.5
2132,AK,282,2016,8.2
2133,AK,282,2017,8.6
2134,AK,282,2018,7.3
2135,AK,282,2019,6.8
2136,AK,282,2020,8.6
2137,AK,282,2021,7.1
2153,AK,290,2015,17.8
2154,AK,290,2016,17.2
2155,AK,290,2017,16.6
2156,AK,290,2018,13.6
2157,AK,290,2019,12.8
2158,AK,290,2020,12.6
2159,AK,290,2021,12.4
2197,AZ,1,2015,13.3
2198,AZ,1,2016,11.6
2199,AZ,1,2017,10.4
2200,AZ,1,2018,9.9
2201,AZ,1,2019,10.0
2202,AZ,1,2020,12.5
2203,AZ,1,2021,9.1
2219,AZ,3,2015,7.3
2220,AZ,3,2016,6.3
2221,AZ,3,2017,5.6
2222,AZ,3,2018,5.6
2223,AZ,3,2019,5.8
2224,AZ,3,2020,6.8
2225,AZ,3,2021,4.8
2241,AZ,5,2015,6.5
2242,AZ,5,2016,6.1
2243,AZ,5,2017,5.6
2244,AZ,5,2018,5.5
2245,AZ,5,2019,5.7
2246,AZ,5,2020,9.5
2247,AZ,5,2021,6.0
2263,AZ,7,2015,7.9
2264,AZ,7,2016,7.3
2265,AZ,7,2017,6.1
2266,AZ,7,2018,5.8
2267,AZ,7,2019,5.7
2268,AZ,7,2020,7.5
2269,AZ,7,2021,5.0
2285,AZ,9,2015,7.4
2286,AZ,9,2016,6.8
2287,AZ,9,2017,5.5
2288,AZ,9,2018,5.1
2289,AZ,9,2019,4.9
2290,AZ,9,2020,6.2
2291,AZ,9,2021,4.1
2307,AZ,11,2015,7.9
2308,AZ,11,2016,7.7
2309,AZ,11,2017,5.1
2310,AZ,11,2018,4.1
2311,AZ,11,2019,4.0
2312,AZ,11,2020,5.2
2313,AZ,11,2021,4.0
2329,AZ,12,2015,7.5
2330,AZ,12,2016,6.1
2331,AZ,12,2017,5.5
2332,AZ,12,2018,6.2
2333,AZ,12,2019,6.0
2334,AZ,12,2020,7.0
2335,AZ,12,2021,5.1
2351,AZ,13,2015,5.1
2352,AZ,13,2016,4.7
2353,AZ,13,2017,4.3
2354,AZ,13,2018,4.1
2355,AZ,13,2019,4.2
2356,AZ,13,2020,7.2
2357,AZ,13,2021,4.5
2373,AZ,15,2015,8.0
2374,AZ,15,2016,6.7
2375,AZ,15,2017,6.0
2376,AZ,15,2018,5.7
2377,AZ,15,2019,5.8
2378,AZ,15,2020,9.7
2379,AZ,15,2021,5.5
2395,AZ,17,2015,9.7
2396,AZ,17,2016,8.4
2397,AZ,17,2017,7.7
2398,AZ,17,2018,7.7
2399,AZ,17,2019,7.5
2400,AZ,17,2020,9.9
2401,AZ,17,2021,6.5
2417,AZ,19,2015,5.5
2418,AZ,19,2016,5.0
2419,AZ,19,2017,4.6
2420,AZ,19,2018,4.4
2421,AZ,19,2019,4.5
2422,AZ,19,2020,7.5
